Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks
May 17/07,1A,N,Ta,-,-,M,A,51,S,got hair
May 17/07,1B,N,Pm,-,-,-,-,-,-,escapee
May 17/07,1D,N,Pm,-,-,M,A,12,S,escapee
May 17/07,1E,R,Pm,7915,7916,M,A,21,NS,-
May 17/07,1H,N,Pm,4604,4606,F,A,15.5,NB,got hair
May 17/07,1I,N,Mg,4607,4608,M,A,19.5,S,got hair
May 17/07,1O,R,Pm,4609,8756,F,A,18.5,NB,added new tag (4609)
May 17/07,2A,R,Mg,2513,2514,F,A,19,NB,-
May 17/07,2C,N,Mg,2835,2836,M,A,17.5,S,got hair
May 17/07,2D,N,Mg,4638,4639,M,A,16.5,S,-
May 17/07,2H,N,Pm,4613,4640,M,A,17.5,S,-
May 17/07,2L,N,Pm,4611,4612,F,A,23.5,NB,-
May 18/07,1A,N,Mg,2513,2514,F,A,24.5,B,-
May 18/07,1B,R,Pm,8761,8773,F,A,15,B,-
May 18/07,1C,R,Pm,7915,7916,M,A,21,NS,-
May 18/07,1D,N,Pm,4776,47777,M,A,18,S,-
May 18/07,1F,R,Ta,-,-,M,A,51.5,S,hair cut from yesterday
May 18/07,1H,R,Pm,4613,4640,M,A,18.5,S,-
May 18/07,1L,N,Ml,-,-,M,A,-,-,brought in
May 18/07,1N,N,Pm,4610,4800,F,A,18,NB,-
May 18/07,1P,R,Pm,-,-,-,A,19,-,escapee
May 18/07,1R,N,Mg,4637,4778,M,A,18.5,S,got hair
May 18/07,1T,N,Pm,-,-,-,A,22.5,-,escapee
May 18/07,2B,N,Ta,-,-,-,A,-,-,-
May 18/07,2D,R,Mg,2835,2836,M,A,17,S,-
May 18/07,2E,N,Mg,2838,2839,M,A,20,S,-
May 18/07,2F,N,Ml,-,-,F,A,-,NB,brought in
May 18/07,2G,R,Pm,4604,4606,F,A,16,NB,-
May 18/07,2H,N,Mg,2840,2841,F,A,21.5,NB,-
May 18/07,2L,R,Pm,4611,4612,F,A,25,NB,-
May 21/07,1A,R,Pm,8761,8773,F,A,15,NB,-
May 21/07,1C,R,Pm,7915,7916,M,A,20.5,S,-
May 21/07,1D,R,Pm,4776,4777,M,A,18.5,S,-
May 21/07,1F,-,Pm,-,-,-,-,-,-,escapee
May 21/07,1G,R,Pm,4613,4640,M,A,17,S,-
May 21/07,1H,N,Mg,4635,4636,M,A,14.5,S,got hair
May 21/07,1I,R,Pm,4604,4606,F,A,20.5,NB,-
May 21/07,1J,N,Zp,-,-,F,A,20,NB,got hair
May 21/07,1K,R,Mg,4607,4608,M,A,22,S,-
May 21/07,1N,R,Pm,4610,4800,F,A,20.5,NB,-
May 21/07,1P,R,Pm,4609,8756,F,A,20,NB,-
May 21/07,1R,N,Pm,4626,4627,M,A,24.5,S,got hair
May 21/07,1S,N,Mg,-,-,-,-,-,-,escapee
May 21/07,1T,N,Mg,4633,4634,F,A,18,B,-
May 21/07,2A,R,Mg,2513,2514,F,A,20,NB,-
May 21/07,2B,R,Mg,2839,-,M,A,19,S,-
May 21/07,2C,N,Mg,4798,4799,F,A,15,B,-
May 21/07,2D,R,Mg,4630,4631,M,A,15.5,S,lost tags
May 21/07,2E,R,Mg,4638,4639,M,A,25,NS,-
May 21/07,2H,R,Mg,2840,2841,M,A,22.5,S,-
May 21/07,2J,N,Ml,-,-,M,A,20.5,S,brought in
May 21/07,2K,R,Pm,4611,4612,F,A,22,preg,-
May 21/07,2L,R,Pm,2320,2323,M,A,18,S,-
May 21/07,2M,N,Pm,4628,4629,M,A,22.5,S,-
May 22/07,1A,R,Pm,4776,4777,M,A,19,S,-
May 22/07,1B,R,Mg,4798,4799,F,A,16,B,-
May 22/07,1H,R,Mg,4635,4636,M,A,16,S,-
May 22/07,1P,N,Mg,4632,4797,M,A,21,S,-
May 22/07,1Q,R,Mg,4778,4796,M,A,?,S,1 new tag (4796)
May 22/07,1R,R,Pm,4609,8756,F,A,20,NB,-
May 22/07,1S,N,Ta,-,-,M,A,51,S,got hair
May 22/07,1T,R,Pm,2320,2323,M,A,19,S,-
May 22/07,2A,R,Mg,4630,4631,M,A,17.5,S,-
